station1,station2,ZZ,TT,gcm,az,baz
KEFN,KHR,TRUE,TRUE,26273.109,171.95033202677436,352.0174788733485
KEFN,KUG,TRUE,TRUE,26728.954,103.29447302081722,283.77260564050323
KEFN,NJAR,TRUE,TRUE,14543.611,136.1949186688209,316.37967713315436
KEFN,NVOG,TRUE,TRUE,17741.7,113.67256432095104,293.9711303637097
KEFN,SECO,TRUE,TRUE,40958.491,126.25432552431207,306.8574998173665
KEFN,STAE,TRUE,TRUE,23602.045,182.74854327952985,2.7278690402711447
KEFN,SUHS,TRUE,TRUE,25557.397,160.40500408891398,340.5615448406335
KEFN,SVAT,TRUE,TRUE,23456.831,154.47016241791226,334.6549895704635
KEFN,VOGS,TRUE,TRUE,16789.98,148.2889410620538,328.45069039606074
KEFS,KEFW,TRUE,TRUE,5859.874,340.8779234800642,160.8426600987703
KEFS,KHR,TRUE,TRUE,14328.491,166.81195168677866,346.8715871545453
KEFS,KUG,TRUE,TRUE,26279.34,76.9941502411462,257.4645768368674
KEFS,NJAR,TRUE,TRUE,9785.404,80.78700778122443,260.964196376244
KEFS,NVOG,TRUE,TRUE,16593.194,72.68510143396713,252.97604434113987
KEFS,SECO,TRUE,TRUE,34812.58,110.44785390980185,291.04326798820045
KEFS,STAE,TRUE,TRUE,11613.382,187.62767433851678,7.599528725494679
KEFS,SUHS,TRUE,TRUE,14524.15,145.8115471750828,325.96053460257787
KEFS,SVAT,TRUE,TRUE,13302.95,133.18368512084928,313.3609451009284
KEFS,VOGS,TRUE,TRUE,8704.855,104.7783243057464,284.93251536085575
KEFW,KHR,TRUE,TRUE,20166.067,165.05519855490783,345.1500913162167
KEFW,KUG,TRUE,TRUE,27527.375,89.1786238432816,269.68442120365177
KEFW,NJAR,TRUE,TRUE,12240.4,108.88930909349702,289.10180068423085
KEFW,NVOG,TRUE,TRUE,17770.9,91.89316676812236,272.2194412143647
KEFW,SECO,TRUE,TRUE,38809.203,117.09642448712972,297.72721223057977
KEFW,STAE,TRUE,TRUE,17051.355,178.69420699890054,358.70130328550795
KEFW,SUHS,TRUE,TRUE,20239.989,150.09227036278267,330.2765366870799
KEFW,SVAT,TRUE,TRUE,18690.991,141.5265850144633,321.7391337841081
KEFW,VOGS,TRUE,TRUE,12923.376,126.85097205934449,307.0404561882722
KHR,KUG,TRUE,TRUE,29891.695,48.41136511635555,228.82189216709537
KHR,NJAR,TRUE,TRUE,16781.546,22.44197760445056,202.55943263557444
KHR,NVOG,TRUE,TRUE,22690.513,33.70669670610836,213.93783783448583
KHR,SECO,TRUE,TRUE,29404.473,86.57241532031334,267.1079026701817
KHR,STAE,TRUE,TRUE,5393.935,296.95454450242187,116.86680489348605
KHR,SUHS,TRUE,TRUE,5261.59,68.46681167771844,248.55611133164044
KHR,SVAT,TRUE,TRUE,8052.945,53.055411823960306,233.17296230346847
KHR,VOGS,TRUE,TRUE,12810.05,23.7543500472359,203.8488283750903
KUG,NJAR,TRUE,TRUE,16528.05,255.2200860157135,74.926859944823
KUG,NVOG,TRUE,TRUE,9812.576,264.7640922940117,84.58458562777503
KUG,SECO,TRUE,TRUE,19389.127,159.26302053774106,339.38836171320133
KUG,STAE,TRUE,TRUE,32257.813,237.77493687226433,57.276564971789526
KUG,SUHS,TRUE,TRUE,25014.323,224.68538327215543,44.36419370155937
KUG,SVAT,TRUE,TRUE,21874.907,227.1138659761368,46.82090307348619
KUG,VOGS,TRUE,TRUE,19016.034,245.1438746977775,64.8277139412621
NJAR,NVOG,TRUE,TRUE,7041.823,61.56828411157514,241.6820223750653
NJAR,SECO,TRUE,TRUE,26751.29,121.05398694648251,301.47233065779096
NJAR,STAE,TRUE,TRUE,17218.338,220.75709415309655,40.55183622657199
NJAR,SUHS,TRUE,TRUE,13663.32,186.47069786083213,6.442587047844086
NJAR,SVAT,TRUE,TRUE,10670.501,179.95777473713764,359.9579184505568
NJAR,VOGS,TRUE,TRUE,3985.67,198.3379850880457,18.315011837788404
NVOG,SECO,TRUE,TRUE,23956.619,135.83640551273606,316.14112477663804
NVOG,STAE,TRUE,TRUE,23931.861,226.87159781168495,46.55263183342922
NVOG,SUHS,TRUE,TRUE,18611.228,204.66213572542148,24.520341989049683
NVOG,SVAT,TRUE,TRUE,15326.42,203.91250825635578,23.79896006575882
NVOG,VOGS,TRUE,TRUE,10313.657,226.33352475562106,46.196826723699274
SECO,STAE,TRUE,TRUE,34166.752,271.6876105248727,91.06432730689093
SECO,SUHS,TRUE,TRUE,24458.128,270.9412639318122,90.49504251538643
SECO,SVAT,TRUE,TRUE,23122.162,278.19577031698105,97.77774174509032
SECO,VOGS,TRUE,TRUE,26164.443,292.92677580106994,112.48553178197751
STAE,SUHS,TRUE,TRUE,9715.924,92.94340322217796,273.1204573896668
STAE,SVAT,TRUE,TRUE,11496.302,77.88695338786175,258.0922708334573
STAE,VOGS,TRUE,TRUE,13619.004,46.960111554847124,227.14237787556152
SUHS,SVAT,TRUE,TRUE,3292.232,28.012162532954694,208.0404054614785
SUHS,VOGS,TRUE,TRUE,9797.183,1.643596297704133,181.64874171451336
SVAT,VOGS,TRUE,TRUE,7001.872,349.6178585262229,169.594750967512
